stid,stname,degree,strength,betweenness,harmonic_closeness,hubscore
1744,LA LOUV-SUD,4,0,00,15666,107413,43,498844,0,243580
977,PUURS,3,0,00,4939,886717,54,076180,0,243150
673,LA LOUV-CTRE,4,0,00,14396,585985,44,677933,0,243053
1195,VISE,3,0,00,9152,650000,49,713867,0,241959
378,ESSENE-LOMB,2,0,00,1101,033530,57,634612,0,241511
177,BOECHOUT,3,0,00,7772,869289,50,946018,0,241064
1260,ZAVENTEM,3,0,00,154,392857,58,195070,0,239034
139,ANTW-BERCHEM,7,0,00,6999,135956,51,265868,0,238135
1145,TIELT,2,0,00,9470,483333,48,805867,0,238084
232,BUIZINGEN,2,0,00,144,200000,58,038407,0,237944
1224,WEERDE,2,0,00,56,308333,57,989154,0,237052
724,LICHTERVELDE,4,0,00,9951,733333,48,133836,0,236813
567,HEVERLEE,2,0,00,7910,111111,50,078237,0,236280
1212,WAREGEM,2,0,00,5149,428968,52,622385,0,235004
1167,UCCLE-CALEV,2,0,00,4989,592841,52,769444,0,234929
566,HEVER,3,0,00,2038,428571,55,578579,0,234150
682,LANDEGEM,2,0,00,3113,666667,54,374053,0,233250
748,LOKEREN,3,0,00,6638,919680,50,865888,0,233183
579,HONY,2,0,00,16870,450000,40,279329,0,230344
486,GROENENDAAL,2,0,00,12978,648341,44,101176,0,230083
363,EPPEGEM,3,0,00,173,966667,56,765810,0,229817
685,LANDSKOUTER,2,0,00,2780,543912,53,975757,0,228485
1067,SERAING,3,0,00,9150,575000,47,533483,0,227690
191,BORDET,2,0,00,231,000000,56,361129,0,227541
989,REBAIX,2,0,00,2325,957937,54,232487,0,227214
1266,ZELLIK,2,0,00,2522,605195,53,975143,0,226807
1234,WETTEREN,2,0,00,1942,216667,54,449133,0,226141
258,CHARL-OUEST,5,0,00,13096,251659,43,282968,0,225497
142,BERLAAR,2,0,00,6925,358333,49,384812,0,225358
742,LINKEBEEK,3,0,00,5663,228357,50,531970,0,224670
895,NAMUR,6,0,00,16654,772619,39,582566,0,224389
559,HERNE,2,0,00,3070,794844,52,566676,0,221155
649,KORTRIJK,5,0,00,5254,798810,50,300357,0,220506
759,LOT,2,0,00,1,000000,55,316320,0,219217
862,MORLANWELZ,2,0,00,14556,107413,40,831531,0,218939
635,KESSEL,2,0,00,6950,395238,48,164333,0,217541
574,HOFSTADE,3,0,00,179,441667,54,799791,0,216998
243,BERCHEM-ST-A,2,0,00,1110,966470,53,821608,0,216645
751,LONDERZEEL,2,0,00,2653,857215,52,189530,0,215984
572,HOEILAART,2,0,00,12684,315007,42,055088,0,214796
413,FORCHIES,2,0,00,13920,907413,40,798842,0,214605
1202,VOROUX,5,0,00,2343,888889,52,195726,0,214014
832,MEVERG-ATTRE,2,0,00,5185,881746,49,354115,0,213872
375,ESNEUX,2,0,00,16417,450000,38,207008,0,213855
520,HARELBEKE,2,0,00,4704,595635,49,685613,0,212917
826,MERODE,2,0,00,513,711905,53,772519,0,212450
6,AALST,3,0,00,2206,638889,52,088296,0,212421
1088,SINT-NIKLAAS,3,0,00,5885,904376,48,435329,0,212406
121,SILLY,2,0,00,108,750000,54,060265,0,211704
128,BEERSEL,2,0,00,1045,756478,53,129808,0,211699
383,EVERE,2,0,00,87,750000,53,961320,0,210921
404,FLEURUS,3,0,00,13596,156223,40,537947,0,210792
250,CARNIERES,2,0,00,14300,107413,39,812065,0,210613
132,BEGIJNENDIJK,3,0,00,6645,991667,47,230883,0,209463
494,HAALTERT,2,0,00,2812,759019,50,968455,0,209031
962,PIETON,2,0,00,14066,607413,39,721385,0,208505
814,MELKOUWEN,2,0,00,6736,758333,46,792106,0,207183
1248,WONDELGEM,2,0,00,2216,000000,51,209382,0,206735
1973,GERMOIR,2,0,00,0,000000,53,389185,0,206611
190,BOORTMEERB,2,0,00,1816,428571,51,543261,0,206326
747,LODELINSART,2,0,00,12943,101659,40,500428,0,206310
266,CHENEE,3,0,00,4700,000000,48,656485,0,206159
434,GAVERE-ASPER,2,0,00,2767,551190,50,533357,0,205893
1912,ARCADES,3,0,00,1729,490561,51,538854,0,205733
941,OUD-HEVERLEE,2,0,00,7514,611111,45,785218,0,205646
